"","logFC","AveExpr","t","P.Value","adj.P.Val","B","ensembl_id"
"ENSG00000105251",-1.85385121892588,1.75327117312841,-5.75764239267211,7.99827537413593e-06,5.51247474053072e-05,3.31685824266676,"ENSG00000105251"
"ENSG00000171115",-1.17165019751121,0.666398034796883,-5.75722057048541,8.00632575959139e-06,5.51529278698819e-05,3.31584760311903,"ENSG00000171115"
"ENSG00000213630",-2.32078290441246,1.10307094848618,-5.75572815998718,8.0348743468588e-06,5.53222159530011e-05,3.31227182805937,"ENSG00000213630"
"ENSG00000082512",0.900236961579386,1.19318175939342,5.75354324289893,8.07685698232224e-06,5.55837878931736e-05,3.30703647836525,"ENSG00000082512"
"ENSG00000166272",-0.779134647304085,3.65428110257249,-5.7532991122899,8.08156173454621e-06,5.55886869902926e-05,3.30645148357062,"ENSG00000166272"
"ENSG00000141756",1.53157892112915,3.8661104928562,5.75219831320645,8.10281039755853e-06,5.57073216566962e-05,3.30381364413556,"ENSG00000141756"
"ENSG00000197563",-0.765267170791395,1.30288279726896,-5.74991170834668,8.14713048970964e-06,5.59843784194164e-05,3.29833392978354,"ENSG00000197563"
"ENSG00000213553",0.739055756350835,4.09627024632452,5.74855754365432,8.17349379539475e-06,5.61348313734302e-05,3.29508854095527,"ENSG00000213553"
"ENSG00000110090",-0.979145501384902,4.07574990120199,-5.7479858614771,8.18464952853801e-06,5.61348313734302e-05,3.29371840097134,"ENSG00000110090"
"ENSG00000201512",2.45784436980119,0.0411829849351377,5.7479761131104,8.18483989121587e-06,5.61348313734302e-05,3.29369503699903,"ENSG00000201512"
"ENSG00000275395",-2.8848118595386,6.79618340223169,-5.74796005145086,8.18515354748336e-06,5.61348313734302e-05,3.29365654189989,"ENSG00000275395"
"ENSG00000010318",-1.06644894221917,0.840607988290154,-5.74690209962799,8.20584046455378e-06,5.62489960352131e-05,3.291120891959,"ENSG00000010318"
"ENSG00000272221",-0.937728612222791,0.384907696249716,-5.74637777623499,8.21611265825798e-06,5.62916931241474e-05,3.28986418222208,"ENSG00000272221"
"ENSG00000172023",4.70194615957164,0.359547466048525,5.74609844437061,8.22159048283021e-06,5.63015163315112e-05,3.28919466386281,"ENSG00000172023"
"ENSG00000130706",1.18700604760522,4.54679315140326,5.74467153655141,8.24963082667672e-06,5.64610697750523e-05,3.28577446606493,"ENSG00000130706"
"ENSG00000130592",-1.17160093935086,3.9013928370604,-5.74445808064751,8.25383383482093e-06,5.64610697750523e-05,3.28526281220785,"ENSG00000130592"
"ENSG00000169554",-1.15841577882866,-0.0631442764298845,-5.74429449701944,8.25705631820188e-06,5.64610697750523e-05,3.28487069955864,"ENSG00000169554"
"ENSG00000225518",1.19835974089219,-0.29910025850521,5.74368638080765,8.26904701295335e-06,5.6491685696673e-05,3.28341301482798,"ENSG00000225518"
"ENSG00000132004",0.889008492469273,1.89196314136925,5.74365586674406,8.26964914881623e-06,5.6491685696673e-05,3.2833398702666,"ENSG00000132004"
"ENSG00000105737",-1.69856630595787,-0.75940022723655,-5.7414340834306,8.31361183769196e-06,5.67641510565706e-05,3.27801386967045,"ENSG00000105737"
"ENSG00000102312",0.840422990035139,1.26206654293286,5.73926273315112,8.35680638230362e-06,5.70311070855054e-05,3.27280835671044,"ENSG00000102312"
"ENSG00000168496",1.29666334998228,3.65593487174398,5.73895296609366,8.36298714547225e-06,5.70453243700464e-05,3.27206569996414,"ENSG00000168496"
"ENSG00000006025",-1.01980608014437,2.64922541337367,-5.73846828689058,8.37266725379911e-06,5.70833856549418e-05,3.27090368038033,"ENSG00000006025"
"ENSG00000048991",0.707572443946722,1.12741967183414,5.73607707451585,8.42059215195928e-06,5.73820283600475e-05,3.26517044856168,"ENSG00000048991"
"ENSG00000164692",1.54134323766749,5.99659476188008,5.73417245458975,8.45896435389297e-06,5.7593491912459e-05,3.26060353347144,"ENSG00000164692"
"ENSG00000139726",0.595488257206162,3.61167914505813,5.73412625429493,8.45989735389877e-06,5.7593491912459e-05,3.26049275013261,"ENSG00000139726"
"ENSG00000182747",2.76873439139732,-1.1263266938674,5.73199927973448,8.50296447989442e-06,5.78583927121653e-05,3.25539229662983,"ENSG00000182747"
"ENSG00000173852",1.10113150142691,1.64200156213893,5.73102094231981,8.52284875625441e-06,5.79653641351118e-05,3.25304612845063,"ENSG00000173852"
"ENSG00000099139",-1.63144944831706,0.174123652851426,-5.73009793649764,8.54165181379718e-06,5.80648811287521e-05,3.25083257716952,"ENSG00000099139"
"ENSG00000088836",1.79364244801573,-0.387631523868108,5.72604524964922,8.62471211229956e-06,5.8600898988499e-05,3.24111257118453,"ENSG00000088836"
"ENSG00000187837",-1.95555156856983,5.78949621992764,-5.72562025264244,8.63346994718994e-06,5.86317895633065e-05,3.24009317309668,"ENSG00000187837"
"ENSG00000187720",-1.1953229590816,0.265883572122023,-5.72534001407441,8.6392497209428e-06,5.86349262159286e-05,3.23942098430015,"ENSG00000187720"
"ENSG00000204618",1.62580861782804,0.480605020962449,5.72518952207284,8.64235516413486e-06,5.86349262159286e-05,3.23906000683287,"ENSG00000204618"
"ENSG00000175084",-2.41126810147393,4.87672802005871,-5.72412014511989,8.66445477849408e-06,5.87562296279564e-05,3.23649489167196,"ENSG00000175084"
"ENSG00000254858",0.716523617960427,2.8092825863999,5.72173541973111,8.7139445149387e-06,5.90473599857537e-05,3.23077430013097,"ENSG00000254858"
"ENSG00000263508",-1.74137668093686,-0.78553979389711,-5.72134540252984,8.72206578528582e-06,5.90473599857537e-05,3.22983866265628,"ENSG00000263508"
"ENSG00000226415",1.05989153510889,1.32571373263231,5.72132415969941,8.7225083426496e-06,5.90473599857537e-05,3.22978770148733,"ENSG00000226415"
"ENSG00000197879",-0.883687265033105,4.87843366764648,-5.72123570682938,8.72435134971236e-06,5.90473599857537e-05,3.2295755042288,"ENSG00000197879"
"ENSG00000152422",0.700197172740894,1.42803290434666,5.71891925281978,8.7727583644637e-06,5.93461331147054e-05,3.22401812614835,"ENSG00000152422"
"ENSG00000100479",0.993989032217298,0.494585267092763,5.71579753793853,8.83842548948461e-06,5.97613208667337e-05,3.21652813852186,"ENSG00000100479"
"ENSG00000186529",1.25270267597465,0.341426244032735,5.71507667119794,8.85366028425803e-06,5.98351370230737e-05,3.2147984328507,"ENSG00000186529"
